,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
610,0.023,47.4,27187.0,27.857142857142858,113.42857142857143,11873.0,53992755100.0,0.048,102.0,309.0,0.026,0.1,0.208,74.0,69.0,0.1,0.333,0.617,0.051,26729909.0,0.739,836000000.0,806000000.0,1.001
611,0.014,41.74285714285713,587.7142857142857,38.714285714285715,103.57142857142857,19546.714285714286,72546194000.0,0.063,3284.1428571428573,282.14285714285717,0.10357142857142856,0.2,0.0887142857142857,82.0,74.0,0.4,0.23,0.653,0.117,3823701.0,0.943,2486000000.0,1319000000.0,1.0
612,0.011142857142857144,44.02857142857143,143.57142857142858,24.0,94.42857142857143,1780.4285714285713,2985755160.428571,0.04057142857142858,3748.714285714286,125.0,0.003857142857142857,0.4714285714285714,0.0662857142857143,83.42857142857143,77.85714285714286,0.41428571428571426,0.3418571428571428,0.6161428571428571,0.04214285714285714,32566.0,1.0,489000000.0,140000000.0,1.000142857142857
613,0.017,64.32857142857142,198.0,60.0,120.28571428571429,12329.142857142857,478067954.0,0.037,374.0,249.28571428571428,0.012,0.2,0.109,74.0,69.0,0.1,0.2742857142857143,0.642,0.08371428571428573,46934.0,0.324,57000000.0,8000000.0,1.0
614,0.018,30.0,326.0,32.714285714285715,113.14285714285714,20696.571428571428,723027643.0,0.064,289.0,191.85714285714286,0.015,0.1,0.126,74.0,70.0,0.1,0.308,0.619,0.073,160217.0,0.263,210000000.0,34000000.0,1.0
615,0.017,56.21428571428572,143.57142857142858,21.142857142857142,98.71428571428571,58.285714285714285,1107700206.7142856,0.054,2896.714285714286,136.0,0.004285714285714286,0.5,0.07785714285714286,81.0,74.0,0.5857142857142857,0.28285714285714286,0.6449999999999999,0.07185714285714286,27450.0,0.9215714285714285,514285714.28571427,117571428.57142857,0.9997142857142856
616,0.019,35.7,187.0,63.142857142857146,120.28571428571429,12475.857142857143,462641610.0,0.039,168.0,235.71428571428572,0.019,0.1,0.116,73.0,68.0,0.1,0.302,0.627,0.071,108150.0,0.459,91000000.0,10000000.0,1.0
617,0.022,75.57142857142857,2252.0,41.142857142857146,112.28571428571429,18314.85714285714,1078402128.0,0.071,161.0,204.57142857142858,0.029,0.0,0.222,72.0,65.0,0.2,0.303,0.639,0.059,480099.0,0.666,17000000.0,54000000.0,1.001
618,0.015,46.54285714285714,26890.0,49.42857142857143,112.28571428571429,12540.0,9008273516.0,0.05,352.0,229.71428571428572,0.025,0.2,0.125,73.0,65.0,0.2,0.238,0.694,0.068,1277723.0,0.104,402000000.0,208000000.0,1.0
619,0.014,43.114285714285714,99.0,24.571428571428573,94.42857142857143,1780.4285714285713,1107700206.7142856,0.05399999999999999,2896.714285714286,131.28571428571428,0.004285714285714286,0.5,0.07785714285714285,84.14285714285714,77.57142857142857,0.5857142857142856,0.34914285714285714,0.6062857142857142,0.04485714285714286,21740.0,0.86,292000000.0,94428571.42857143,1.0002857142857142
